s 0, a 0.1 
s 1, a 0.1 
s 2, a 0.1 
s 3, a 0.18 
s 4, a 0.14 
s 5, a 0.08 
s 6, a 0.18 
s 7, a 0.16 
s 8, a 0.14 
s 9, a 0.1 
s 10, a 0.26 
s 11, a 0.24 
s 12, a 0.2 
s 13, a 0.32 
s 14, a 0.28 
s 15, a 0.4 
s 16, a 0.38 
s 17, a 0.4 
s 18, a 0.36 
s 19, a 0.34 
s 20, a 0.36 
s 21, a 0.42 
s 22, a 0.46 
s 23, a 0.58 
s 24, a 0.44 
s 25, a 0.54 
s 26, a 0.58 
s 27, a 0.5 
s 28, a 0.56 
s 29, a 0.5 
s 30, a 0.58 
s 31, a 0.6 
s 32, a 0.6 
s 33, a 0.54 
s 34, a 0.72 
s 35, a 0.72 
s 36, a 0.54 
s 37, a 0.66 
s 38, a 0.64 
s 39, a 0.68 
s 40, a 0.74 
s 41, a 0.62 
s 42, a 0.64 
s 43, a 0.66 
s 44, a 0.7 
s 45, a 0.6 
s 46, a 0.72 
s 47, a 0.7 
s 48, a 0.62 
s 49, a 0.78 
s 50, a 0.68 
s 51, a 0.64 
s 52, a 0.74 
s 53, a 0.7 
s 54, a 0.78 
s 55, a 0.76 
s 56, a 0.68 
s 57, a 0.68 
s 58, a 0.72 
s 59, a 0.76 
s 60, a 0.74 
s 61, a 0.74 
s 62, a 0.76 
s 63, a 0.72 
s 64, a 0.8 
s 65, a 0.74 
s 66, a 0.76 
s 67, a 0.76 
s 68, a 0.72 
s 69, a 0.76 
s 70, a 0.84 
s 71, a 0.8 
s 72, a 0.68 
s 73, a 0.82 
s 74, a 0.84 
s 75, a 0.78 
s 76, a 0.92 
s 77, a 0.84 
s 78, a 0.8 
s 79, a 0.9 
s 80, a 0.88 
s 81, a 0.78 
s 82, a 0.88 
s 83, a 0.82 
s 84, a 0.7 
s 85, a 0.84 
s 86, a 0.8 
s 87, a 0.8 
s 88, a 0.76 
s 89, a 0.78 
s 90, a 0.84 
s 91, a 0.8 
s 92, a 0.72 
s 93, a 0.78 
s 94, a 0.92 
s 95, a 0.84 
s 96, a 0.84 
s 97, a 0.8 
s 98, a 0.84 
s 99, a 0.78 
s 100, a 0.92 
s 101, a 0.74 
s 102, a 0.86 
s 103, a 0.86 
s 104, a 0.82 
s 105, a 0.84 
s 106, a 0.8 
s 107, a 0.88 
s 108, a 0.92 
s 109, a 0.9 
s 110, a 0.88 
s 111, a 0.96 
s 112, a 0.9 
s 113, a 0.82 
s 114, a 0.88 
s 115, a 0.88 
s 116, a 0.88 
s 117, a 0.8 
s 118, a 0.88 
s 119, a 0.96 
s 120, a 0.8 
s 121, a 0.88 
s 122, a 0.76 
s 123, a 0.98 
s 124, a 0.84 
s 125, a 0.86 
s 126, a 0.9 
s 127, a 0.8 
s 128, a 0.82 
s 129, a 0.82 
s 130, a 0.8 
s 131, a 0.88 
s 132, a 0.86 
s 133, a 0.94 
s 134, a 0.86 
s 135, a 0.9 
s 136, a 0.78 
s 137, a 0.84 
s 138, a 0.86 
s 139, a 0.9 
s 140, a 0.88 
s 141, a 0.92 
s 142, a 0.86 
s 143, a 0.92 
s 144, a 0.92 
s 145, a 0.88 
s 146, a 0.82 
s 147, a 0.88 
s 148, a 0.82 
s 149, a 0.82 
s 150, a 0.86 
s 151, a 0.94 
s 152, a 0.9 
s 153, a 0.92 
s 154, a 0.86 
s 155, a 0.92 
s 156, a 0.88 
s 157, a 0.92 
s 158, a 0.82 
s 159, a 0.92 
s 160, a 0.9 
s 161, a 0.84 
s 162, a 0.9 
s 163, a 0.8 
s 164, a 0.94 
s 165, a 0.94 
s 166, a 0.9 
s 167, a 0.84 
s 168, a 0.86 
s 169, a 0.86 
s 170, a 0.92 
s 171, a 0.86 
s 172, a 0.82 
s 173, a 0.94 
s 174, a 0.9 
s 175, a 0.92 
s 176, a 0.82 
s 177, a 0.92 
s 178, a 0.86 
s 179, a 0.84 
s 180, a 0.96 
s 181, a 0.96 
s 182, a 0.9 
s 183, a 0.92 
s 184, a 0.9 
s 185, a 0.94 
s 186, a 0.94 
s 187, a 0.92 
s 188, a 0.86 
s 189, a 0.9 
s 190, a 0.88 
s 191, a 0.92 
s 192, a 0.92 
s 193, a 0.84 
s 194, a 0.92 
s 195, a 0.92 
s 196, a 0.92 
s 197, a 0.92 
s 198, a 0.92 
s 199, a 0.88 
s 200, a 0.92 
s 201, a 0.96 
s 202, a 0.94 
s 203, a 0.86 
s 204, a 0.96 
s 205, a 0.92 
s 206, a 0.78 
s 207, a 0.96 
s 208, a 0.94 
s 209, a 0.94 
s 210, a 0.92 
s 211, a 0.86 
s 212, a 0.86 
s 213, a 0.92 
s 214, a 0.86 
s 215, a 0.88 
s 216, a 0.76 
s 217, a 0.98 
s 218, a 0.88 
s 219, a 0.92 
s 220, a 0.84 
s 221, a 0.96 
s 222, a 0.92 
s 223, a 0.9 
s 224, a 0.96 
s 225, a 0.9 
s 226, a 0.88 
s 227, a 0.88 
s 228, a 0.92 
s 229, a 0.88 
s 230, a 0.98 
s 231, a 0.9 
s 232, a 0.88 
s 233, a 0.88 
s 234, a 0.9 
s 235, a 0.84 
s 236, a 0.94 
s 237, a 0.9 
s 238, a 0.94 
s 239, a 0.92 
s 240, a 0.82 
s 241, a 0.92 
s 242, a 0.9 
s 243, a 0.88 
s 244, a 0.92 
s 245, a 0.96 
s 246, a 0.92 
s 247, a 0.86 
s 248, a 0.98 
s 249, a 0.88 
s 250, a 0.96 
s 251, a 0.88 
s 252, a 0.92 
s 253, a 0.88 
s 254, a 0.94 
s 255, a 0.86 
s 256, a 0.96 
s 257, a 0.98 
s 258, a 0.9 
s 259, a 0.94 
s 260, a 0.94 
s 261, a 0.9 
s 262, a 0.94 
s 263, a 0.92 
s 264, a 0.9 
s 265, a 0.92 
s 266, a 0.86 
s 267, a 0.92 
s 268, a 0.9 
s 269, a 0.88 
s 270, a 0.94 
s 271, a 0.88 
s 272, a 0.92 
s 273, a 0.98 
s 274, a 0.92 
s 275, a 0.9 
s 276, a 0.92 
s 277, a 0.82 
s 278, a 0.96 
s 279, a 0.92 
s 280, a 0.9 
s 281, a 0.9 
s 282, a 0.92 
s 283, a 0.94 
s 284, a 0.98 
s 285, a 0.88 
s 286, a 0.92 
s 287, a 0.9 
s 288, a 0.94 
s 289, a 0.92 
s 290, a 0.98 
s 291, a 0.96 
s 292, a 0.96 
s 293, a 0.88 
s 294, a 0.92 
s 295, a 0.96 
s 296, a 0.96 
s 297, a 0.94 
s 298, a 0.9 
s 299, a 0.84 
s 300, a 0.9 
s 301, a 0.92 
s 302, a 0.96 
s 303, a 0.94 
s 304, a 0.92 
s 305, a 0.96 
s 306, a 0.94 
s 307, a 0.82 
s 308, a 0.84 
s 309, a 0.88 
s 310, a 0.92 
s 311, a 0.94 
s 312, a 0.92 
s 313, a 0.98 
s 314, a 0.94 
s 315, a 0.94 
s 316, a 0.92 
s 317, a 0.9 
s 318, a 0.84 
s 319, a 0.9 
s 320, a 0.86 
s 321, a 0.92 
s 322, a 0.9 
s 323, a 0.9 
s 324, a 0.98 
s 325, a 0.9 
s 326, a 0.94 
s 327, a 1 
s 328, a 0.92 
s 329, a 0.98 
s 330, a 0.92 
s 331, a 0.96 
s 332, a 0.96 
s 333, a 0.86 
s 334, a 0.9 
s 335, a 0.94 
s 336, a 0.96 
s 337, a 0.92 
s 338, a 0.94 
s 339, a 0.92 
s 340, a 0.96 
s 341, a 0.98 
s 342, a 0.92 
s 343, a 0.94 
s 344, a 0.94 
s 345, a 0.96 
s 346, a 0.94 
s 347, a 0.9 
s 348, a 0.94 
s 349, a 0.92 
s 350, a 0.96 
s 351, a 0.94 
s 352, a 0.92 
s 353, a 0.96 
s 354, a 0.94 
s 355, a 0.92 
s 356, a 0.88 
s 357, a 0.98 
s 358, a 0.9 
s 359, a 0.92 
s 360, a 0.84 
s 361, a 0.94 
s 362, a 0.88 
s 363, a 0.8 
s 364, a 0.96 
s 365, a 0.92 
s 366, a 0.96 
s 367, a 0.88 
